"cohort_month","cohort_size","period_number","active_customers","retention_rate_pct"
"2016-10-01","290","0.0","290","1.0"
"2016-10-01","290","6.0","1","0.34"
"2016-10-01","290","9.0","1","0.34"
"2016-10-01","290","11.0","1","0.34"
"2016-10-01","290","13.0","1","0.34"
"2016-10-01","290","15.0","1","0.34"
"2016-10-01","290","17.0","1","0.34"
"2016-10-01","290","19.0","2","0.69"
"2016-10-01","290","20.0","2","0.69"
"2017-01-01","752","0.0","752","1.0"
"2017-01-01","752","1.0","3","0.4"
"2017-01-01","752","2.0","2","0.27"
"2017-01-01","752","3.0","1","0.13"
"2017-01-01","752","4.0","3","0.4"
"2017-01-01","752","5.0","1","0.13"
"2017-01-01","752","6.0","3","0.4"
"2017-01-01","752","7.0","1","0.13"
"2017-01-01","752","8.0","1","0.13"
"2017-01-01","752","10.0","3","0.4"
"2017-01-01","752","11.0","1","0.13"
"2017-01-01","752","12.0","5","0.66"
"2017-01-01","752","13.0","3","0.4"
"2017-01-01","752","14.0","1","0.13"
"2017-01-01","752","15.0","1","0.13"
"2017-01-01","752","16.0","2","0.27"
"2017-01-01","752","17.0","3","0.4"
"2017-01-01","752","19.0","1","0.13"
"2017-02-01","1690","0.0","1690","1.0"
"2017-02-01","1690","1.0","4","0.24"
"2017-02-01","1690","2.0","5","0.3"
"2017-02-01","1690","3.0","2","0.12"
"2017-02-01","1690","4.0","7","0.41"
"2017-02-01","1690","5.0","2","0.12"
"2017-02-01","1690","6.0","4","0.24"
"2017-02-01","1690","7.0","3","0.18"
"2017-02-01","1690","8.0","2","0.12"
"2017-02-01","1690","9.0","3","0.18"
"2017-02-01","1690","10.0","2","0.12"
"2017-02-01","1690","11.0","5","0.3"
"2017-02-01","1690","12.0","2","0.12"
"2017-02-01","1690","13.0","3","0.18"
"2017-02-01","1690","14.0","2","0.12"
"2017-02-01","1690","15.0","1","0.06"
"2017-02-01","1690","16.0","1","0.06"
"2017-02-01","1690","17.0","4","0.24"
"2017-03-01","2571","0.0","2571","1.0"
"2017-03-01","2571","1.0","13","0.51"
"2017-03-01","2571","2.0","9","0.35"
"2017-03-01","2571","3.0","10","0.39"
"2017-03-01","2571","4.0","9","0.35"
"2017-03-01","2571","5.0","4","0.16"
"2017-03-01","2571","6.0","4","0.16"
"2017-03-01","2571","7.0","8","0.31"
"2017-03-01","2571","8.0","9","0.35"
"2017-03-01","2571","9.0","2","0.08"
"2017-03-01","2571","10.0","10","0.39"
"2017-03-01","2571","11.0","3","0.12"
"2017-03-01","2571","12.0","6","0.23"
"2017-03-01","2571","13.0","3","0.12"
"2017-03-01","2571","14.0","4","0.16"
"2017-03-01","2571","15.0","6","0.23"
"2017-03-01","2571","16.0","2","0.08"
"2017-03-01","2571","17.0","4","0.16"
"2017-04-01","2325","0.0","2325","1.0"
"2017-04-01","2325","1.0","14","0.6"
"2017-04-01","2325","2.0","5","0.22"
"2017-04-01","2325","3.0","4","0.17"
"2017-04-01","2325","4.0","7","0.3"
"2017-04-01","2325","5.0","6","0.26"
"2017-04-01","2325","6.0","8","0.34"
"2017-04-01","2325","7.0","7","0.3"
"2017-04-01","2325","8.0","7","0.3"
"2017-04-01","2325","9.0","4","0.17"
"2017-04-01","2325","10.0","6","0.26"
"2017-04-01","2325","11.0","2","0.09"
"2017-04-01","2325","12.0","2","0.09"
"2017-04-01","2325","13.0","1","0.04"
"2017-04-01","2325","14.0","2","0.09"
"2017-04-01","2325","15.0","2","0.09"
"2017-04-01","2325","16.0","3","0.13"
"2017-05-01","3541","0.0","3541","1.0"
"2017-05-01","3541","1.0","17","0.48"
"2017-05-01","3541","2.0","17","0.48"
"2017-05-01","3541","3.0","14","0.4"
"2017-05-01","3541","4.0","11","0.31"
"2017-05-01","3541","5.0","12","0.34"
"2017-05-01","3541","6.0","15","0.42"
"2017-05-01","3541","7.0","5","0.14"
"2017-05-01","3541","8.0","9","0.25"
"2017-05-01","3541","9.0","9","0.25"
"2017-05-01","3541","10.0","9","0.25"
"2017-05-01","3541","11.0","12","0.34"
"2017-05-01","3541","12.0","9","0.25"
"2017-05-01","3541","13.0","1","0.03"
"2017-05-01","3541","14.0","7","0.2"
"2017-05-01","3541","15.0","8","0.23"
"2017-06-01","3102","0.0","3102","1.0"
"2017-06-01","3102","1.0","14","0.45"
"2017-06-01","3102","2.0","11","0.35"
"2017-06-01","3102","3.0","12","0.39"
"2017-06-01","3102","4.0","8","0.26"
"2017-06-01","3102","5.0","12","0.39"
"2017-06-01","3102","6.0","11","0.35"
"2017-06-01","3102","7.0","7","0.23"
"2017-06-01","3102","8.0","4","0.13"
"2017-06-01","3102","9.0","7","0.23"
"2017-06-01","3102","10.0","10","0.32"
"2017-06-01","3102","11.0","10","0.32"
"2017-06-01","3102","12.0","5","0.16"
"2017-06-01","3102","13.0","4","0.13"
"2017-06-01","3102","14.0","6","0.19"
"2017-07-01","3822","0.0","3822","1.0"
"2017-07-01","3822","1.0","20","0.52"
"2017-07-01","3822","2.0","13","0.34"
"2017-07-01","3822","3.0","9","0.24"
"2017-07-01","3822","4.0","11","0.29"
"2017-07-01","3822","5.0","8","0.21"
"2017-07-01","3822","6.0","12","0.31"
"2017-07-01","3822","7.0","4","0.1"
"2017-07-01","3822","8.0","7","0.18"
"2017-07-01","3822","9.0","10","0.26"
"2017-07-01","3822","10.0","8","0.21"
"2017-07-01","3822","11.0","11","0.29"
"2017-07-01","3822","12.0","5","0.13"
"2017-07-01","3822","13.0","10","0.26"
"2017-08-01","4130","0.0","4130","1.0"
"2017-08-01","4130","1.0","28","0.68"
"2017-08-01","4130","2.0","14","0.34"
"2017-08-01","4130","3.0","11","0.27"
"2017-08-01","4130","4.0","15","0.36"
"2017-08-01","4130","5.0","22","0.53"
"2017-08-01","4130","6.0","12","0.29"
"2017-08-01","4130","7.0","11","0.27"
"2017-08-01","4130","8.0","6","0.15"
"2017-08-01","4130","9.0","6","0.15"
"2017-08-01","4130","10.0","10","0.24"
"2017-08-01","4130","11.0","8","0.19"
"2017-08-01","4130","12.0","5","0.12"
"2017-09-01","4075","0.0","4075","1.0"
"2017-09-01","4075","1.0","28","0.69"
"2017-09-01","4075","2.0","22","0.54"
"2017-09-01","4075","3.0","12","0.29"
"2017-09-01","4075","4.0","18","0.44"
"2017-09-01","4075","5.0","9","0.22"
"2017-09-01","4075","6.0","9","0.22"
"2017-09-01","4075","7.0","10","0.25"
"2017-09-01","4075","8.0","12","0.29"
"2017-09-01","4075","9.0","7","0.17"
"2017-09-01","4075","10.0","11","0.27"
"2017-09-01","4075","11.0","3","0.07"
"2017-10-01","4392","0.0","4392","1.0"
"2017-10-01","4392","1.0","31","0.71"
"2017-10-01","4392","2.0","11","0.25"
"2017-10-01","4392","3.0","4","0.09"
"2017-10-01","4392","4.0","10","0.23"
"2017-10-01","4392","5.0","9","0.2"
"2017-10-01","4392","6.0","9","0.2"
"2017-10-01","4392","7.0","16","0.36"
"2017-10-01","4392","8.0","12","0.27"
"2017-10-01","4392","9.0","9","0.2"
"2017-10-01","4392","10.0","9","0.2"
"2017-11-01","7190","0.0","7190","1.0"
"2017-11-01","7190","1.0","40","0.56"
"2017-11-01","7190","2.0","28","0.39"
"2017-11-01","7190","3.0","12","0.17"
"2017-11-01","7190","4.0","14","0.19"
"2017-11-01","7190","5.0","13","0.18"
"2017-11-01","7190","6.0","8","0.11"
"2017-11-01","7190","7.0","14","0.19"
"2017-11-01","7190","8.0","9","0.13"
"2017-11-01","7190","9.0","4","0.06"
"2017-12-01","5439","0.0","5439","1.0"
"2017-12-01","5439","1.0","12","0.22"
"2017-12-01","5439","2.0","15","0.28"
"2017-12-01","5439","3.0","19","0.35"
"2017-12-01","5439","4.0","14","0.26"
"2017-12-01","5439","5.0","11","0.2"
"2017-12-01","5439","6.0","9","0.17"
"2017-12-01","5439","7.0","2","0.04"
"2017-12-01","5439","8.0","12","0.22"
"2018-01-01","6951","0.0","6951","1.0"
"2018-01-01","6951","1.0","23","0.33"
"2018-01-01","6951","2.0","25","0.36"
"2018-01-01","6951","3.0","20","0.29"
"2018-01-01","6951","4.0","20","0.29"
"2018-01-01","6951","5.0","11","0.16"
"2018-01-01","6951","6.0","12","0.17"
"2018-01-01","6951","7.0","16","0.23"
"2018-02-01","6357","0.0","6357","1.0"
"2018-02-01","6357","1.0","23","0.36"
"2018-02-01","6357","2.0","25","0.39"
"2018-02-01","6357","3.0","19","0.3"
"2018-02-01","6357","4.0","17","0.27"
"2018-02-01","6357","5.0","14","0.22"
"2018-02-01","6357","6.0","13","0.2"
"2018-03-01","6931","0.0","6931","1.0"
"2018-03-01","6931","1.0","28","0.4"
"2018-03-01","6931","2.0","21","0.3"
"2018-03-01","6931","3.0","20","0.29"
"2018-03-01","6931","4.0","9","0.13"
"2018-03-01","6931","5.0","8","0.12"
"2018-04-01","6698","0.0","6698","1.0"
"2018-04-01","6698","1.0","39","0.58"
"2018-04-01","6698","2.0","21","0.31"
"2018-04-01","6698","3.0","16","0.24"
"2018-04-01","6698","4.0","9","0.13"
"2018-05-01","6586","0.0","6586","1.0"
"2018-05-01","6586","1.0","34","0.52"
"2018-05-01","6586","2.0","17","0.26"
"2018-05-01","6586","3.0","13","0.2"
"2018-06-01","5920","0.0","5920","1.0"
"2018-06-01","5920","1.0","25","0.42"
"2018-06-01","5920","2.0","16","0.27"
"2018-07-01","6016","0.0","6016","1.0"
"2018-07-01","6016","1.0","31","0.52"
"2018-08-01","6209","0.0","6209","1.0"
"2018-08-01","6209","1.0","1","0.02"
